4001	Yoshi	ヨッシー
4182	Fly Guy (apple)	プロペラヘイホー(リンゴ)
4183	Fly Guy (banana)	プロペラヘイホー(バナナ)
4184	Fly Guy (watermelon)	プロペラヘイホー(スイカ)
4185	Fly Guy (grape)	プロペラヘイホー(ブドウ)
4186	Fly Guy (melon)	プロペラヘイホー(メロン)
4198	Shy Guy (apple)	ヘイホー(リンゴ)
4199	Shy Guy (banana)	ヘイホー(バナナ)
419a	Shy Guy (watermelon)	ヘイホー(スイカ)
419b	Shy Guy (grape)	ヘイホー(ブドウ)
419c	Shy Guy (melon)	ヘイホー(メロン)
41c7	Lava Ghost (left)	フレアバブル(左向き)
41ca	Snake (red, right)	ヘビリン赤(右向き)
41cb	Snake (red, left)	ヘビリン赤(左向き)
41cc	Snake (green)	ヘビリン緑
41ce	Balloon Bully seed	リフトさんの種
41cf	Water	水面
41d0	Lava Ghost (right)	フレアバブル(右向き)
41d1	Bubble (apple)	シャボン(リンゴ)
41d2	Bubble (banana)	シャボン(バナナ)
41d3	Bubble (watermelon)	シャボン(スイカ)
41d4	Bubble (grape)	シャボン(ブドウ)
41d5	Bubble (melon)	シャボン(メロン)
41d6	Bubble (heart fluit)	シャボン(ハートフルーツ)
41d7	'?' bubble (Balloon Bully)	？シャボン(リフトさんの種)
41dc	Tulip	チューリップ
41dd	Power Bee	しあわせちょう
41de		精算画面(このページ)
41df		精算画面(全ページ)
41e7	Branching point 1 (left)	道の分岐点(左上)
41e8	Branching point 2 (left)	道の分岐点(左下)
41e9	Branching point 1 (right)	道の分岐点(右上)
41ea	Branching point 2 (right)	道の分岐点(右上)
41ec	Blargg	ウンババ
41fc		ヨッシー選択画面
4208..4280	Vase	ツボ
42b5..42b6	Door	ドア
4346..4381	Warp pipe (middle)	入れる土管(中)
4382..4382	Warp pipe (very long)	入れる土管(最長)
43cb..43da	Reverse warp pipe	入れる逆さ土管
440c	Pipe (short)	入れない土管(短)
440d	Pipe (middle)	入れない土管(中)
440e	Pipe (long)	入れない土管(長)
440f	Pipe (very long)	入れない土管(最長)
4453..44b4	Page exit	画面端
44ca	Vase exit point	ツボでヨッシーが出る場所
44cd	Rolling woods	回転する木のリフト
44fe	Do-Drop	すいてきくん, 水しぶき赤プクの水しぶきにも使われる
44ff	Do-Drop generator	すいてきくん生成地点
4507	Miss Warp 1	ワープちゃん1
4508	Miss Warp 2	ワープちゃん2
4509	Miss Warp 3	ワープちゃん3
450a	Miss Warp 4	ワープちゃん4
450e	Fly Guy 4	プロペラヘイホー4
4511	Big Blurp	あかプク
4517	Spike (jump only)	とんがりくん(その場でジャンプ)
451e	Teehee Butterfly (vertical)	ウフフちょう(上下)
451f	Teehee Butterfly (horizontal)	ウフフちょう(左右)
4525	Bee	ブンブン
4526	Peeper	ピヨピヨ？
4528	Peeper generator	ピヨピヨ生成画面
452e	'?' bubble (parachute melon)	？シャボン(メロン)
452f	'?' bubble (parachute heart fluit)	？シャボン(ハートフルーツ)
4531	Hidden '?' bubble (parachute melon)	触れると出る？シャボン(メロン)
4533	Horde of Fly Guy	プロペラヘイホーの大群
4536	Pak Elephant Derm	とうさんぞう
4538	Melon boxes	置いてあるメロン缶
4539	Tub	タライ
453a	Kettle, Bucket	ヤカン, バケツ
453c	Melon box (going up)	上に向かうメロン缶
4547	Lurking Shy Guy (top-left 1)	隠れたヘイホー(左上1)
4548	Lurking Shy Guy (top-left 2)	隠れたヘイホー(左上2)
4549	Lurking Shy Guy (left)	隠れたヘイホー(左)
454b	Lurking Shy Guy (bottom)	隠れたヘイホー(下)
454d	Lurking Shy Guy (top-right)	隠れたヘイホー(右上)
454e	Lurking Shy Guy (top)	隠れたヘイホー(上)
4561	Spider	ミノぼん
4564	Mr. Eel	チビウナボン
456b	Hidden coin	！スイッチでコインが出る場所
456d	Peeper generate stop line	ピヨピヨ生成開始線
456e	Peeper generate start line	ピヨピヨ生成終了線
457c	Nipper Plant	プチパックン
457d	Nipper Plant (born)	タネから産まれたプチパックン
4580	Nipper Spore	プチパックンのタネ
4581	Spore melon	綿毛についたメロン
4582	Stone	ジュゲムが落とす石
4584	Bill Blaster (left)	キラー大砲(左向き)
4586	Bill Blaster (up)	キラー大砲(上向き)
458d	Bill Blaster (homing)	キラー大砲(向きを変える)
458f	Bullet Bill	キラー
4591	Cloud (large)	雲の足場(大)
4592	Cloud (medium)	雲の足場(中)
4593	Cloud (small)	雲の足場(小)
459f		ラッキーフルーツ選択画面
45a0	Lakitu (stone)	石を落とすジュゲム
45a3	Air Bag	ビックリン
45aa	Stilt Guy 1	たけうまヘイホー 1
45ab	Stilt Guy 2	たけうまヘイホー 2
45ac	Stilt Guy 3	たけうまヘイホー 3
45b3	Fly Guy (red pepper)	プロペラヘイホー(トウガラシ)
45b6	Red pepper	トウガラシ
45bb	Secret melon point (egg)	タマゴで射抜くと隠しメロンが出る場所
45bc	Secret melon point (out)	隠しメロンが出る場所
45bd	Secret melon point (touch)	全てに触れると隠しメロンが出るチェックポイント
45bf	Three-headed Bone Dragon's head	3つの頭のホネホネりゅうの頭
45c1	Poochy (go)	動くポチ
45c4	Piece of chain	ポチが繋がれている杭
45c7	Poochy branching point 1	ポチの制御点1
45c9	Poochy branching point 2	ポチの制御点2
45cb	Melon-game Lakitu	メロンゲームでメロンをくれるジュゲム
45d1	Mr. Eel generator	ウナボン生成画面
45d2	Mr. Eel generator start line	ウナボン生成開始線
45d3	Mr. Eel generator stop line	ウナボン生成終了線
45da		ラッキーフルーツ選択画面
45e3	Hidden melon	！スイッチで出るメロン
45e6	'!' switch	！スイッチ
45ee	Rock	岩ブロック
45ef	Piece of rock	岩ブロックの破片
45f1	Dragon	ドラゴン
45f4	Hint block	ヒントブロック
45f6	Long jump game's melon point 1	幅跳びのメロン地点1
45f7	Long jump game's melon point 2	幅跳びのメロン地点2
45f8	Long jump game's melon point 3	幅跳びのメロン地点3
45f9	Long jump game's melon point 4	幅跳びのメロン地点4
45fa	Long jump game's melon point 5	幅跳びのメロン地点5
45fb	Long jump game's melon point 6	幅跳びのメロン地点6
45fc	Long jump game's melon point 7	幅跳びのメロン地点7
4603	Rock (melon)	メロンが入った岩ブロック
460e	Continuation '!' switch	！スイッチで出る！スイッチ
460f	Hidden '!' switch	埋まった！スイッチ
461c	Bomb Fluit	ボムフルーツ
461d	Bomb Fluit generator	ボムフルーツ生成地点
4620	Water splash	水しぶき
4625	Centipede 1	ムカデ 1 (落ちて地上を移動する)
4631	Big Blue Blurp	あおプク
4632	Spitted water	あおプクの吐く水
4638	Lakitu (melons)	メロンも落とすジュゲム
4639		ミス画面
4647	'?' bubble (special heart)	？シャボン(スペシャルハート)
464b		ミス画面ヨッシー位置
464c	Rock (special heart)	スペシャルハートが入った岩ブロック
464d	Rock (White Shy Guy)	しろヘイホーが入った岩ブロック
464f	Yellow rock	黄色い岩ブロック
4653	'?' card	！カード
4655	falling '?' card	射抜かれた！カード
465e	Time attack melon 1	
465f	Time attack melon 2	
4660	Time attack melon 3	
4661	Time attack melon 4	
4662	Time attack melon 5	
4663	Time attack melon 6	
4664	Time attack melon 7	
466a	Hidden surprise ball	！スイッチで出る！ブロック
466b	Hidden coin	！スイッチで出たコイン
466c	Hidden special heart	！スイッチで出るスペシャルハート
466e	Hidden cloud (large)	！スイッチで出る雲の足場(大)
466f	Hidden cloud (medium)	！スイッチで出る雲の足場(中)
4670	Hidden cloud (small)	！スイッチで出る雲の足場(小)
4673		ヨッシー選択画面
4677	Centipede 2	ムカデ 2
4678	Centipede 3	ムカデ 3
4679	Centipede 4	ムカデ 4
4684	'?' block (time attack)	？ブロック(タイムアタック)
4686	Sunflower	ヒマワリ
4689	Buried special heart	埋まったスペシャルハート
468a	Hidden platform	埋まった足場
468b	Buried heart fluit	埋まったハートフルーツ
468d	'?' bubble ('!' switch)	？シャボン(！スイッチ)
4690	'?' bubble (Shy Guy)	？シャボン(ヘイホー)
4694	'?' bubble (Heart Coin)	？シャボン(コインちゃん)
4698	Shy Guy (lucky fluit)	ヘイホー(ラッキーフルーツ)
4699	'?' block (long jump game)	？ブロック(幅跳び)
469b	'?' box (empty)	？ボックス(空)
46a0	Line guided bouncing ball 1	線に沿って動くバウンドボール 1
46a1	Line guided bouncing ball 2	線に沿って動くバウンドボール 2
46a2	Line guided bouncing ball 3	線に沿って動くバウンドボール 3
46a3	Line guided bouncing ball 4	線に沿って動くバウンドボール 4
46a4	Line guided bouncing ball 5	線に沿って動くバウンドボール 5
46a8	Bubble (lucky fluit)	シャボン(ラッキーフルーツ)
46a9	'?' bubble (vase)	？シャボン(ツボ)
46aa	'?' bubble (White Shy Guy)	？シャボン(しろヘイホー)
46ac	Moving '?' bubble (melon)	動く？シャボン(メロン)
46ad	Moving '?' bubble (special heart)	動く？シャボン(スペシャルハート)
46af	Piece of '?' box	？ボックスの破片
46b4	'?' box (melon)	？ボックス(メロン)
46b8	'?' box (White Shy Guy)	？ボックス(しろヘイホー)
46bb		トライアル
46bc		トライアルアイコン1-1
46bd		トライアルアイコン1-2
46be		トライアルアイコン1-3
46bf		トライアルアイコン1-4
46c0		トライアルアイコン2-1
46c1		トライアルアイコン2-2
46c2		トライアルアイコン2-3
46c3		トライアルアイコン2-4
46c4		トライアルアイコン3-1
46c5		トライアルアイコン3-2
46c6		トライアルアイコン3-3
46c7		トライアルアイコン3-4
46c8		トライアルアイコン4-1
46c9		トライアルアイコン4-2
46ca		トライアルアイコン4-3
46cb		トライアルアイコン4-4
46cc		トライアルアイコン5-1
46cd		トライアルアイコン5-2
46ce		トライアルアイコン5-3
46cf		トライアルアイコン5-4
46d0		トライアルアイコン6-1
46d1		トライアルアイコン6-2
46d2		トライアルアイコン6-3
46d3		トライアルアイコン6-4
46d4	Line guided melon 1	紐に繋がれたメロン 1
46d5	Line guided melon 2	紐に繋がれたメロン 2
46df	Shy Guy (6df)	ヘイホー(6df)
46e0	Shy Guy (6e0)	ヘイホー(6e0)
46ee		ボス倒した後
46f4	Zzz	Z効果
46f5	Some controlpoint	制御点
46fb	Arrow sign (right)	矢印看板(→)
46fc		クリア画面
46fe	Arrow sign (left)	矢印看板(←)
4700	Arrow sign (left, top)	逆さ矢印看板(←)
4701	Arrow sign (up, right)	右の壁についた矢印看板(↑)
4702	Arrow sign (up, left)	左の壁についた矢印看板(↑)
4703	Arrow sign (down, right)	左の壁についた矢印看板(↓)
4704	Arrow sign (down, left)	左の壁についた矢印看板(↓)
4705	Goonie generator	あほーどり生成画面
470a		オプション
470e		オプション
4719	Start flag (melon boxes game)	スタートの旗(メロン缶運び)
472a	Poochy (stop)	その場にいるポチ
4732	Buried coins	埋まったコイン
4733	Time attack Chomp	タイムアタックの画面のワンワン
4734		クリア画面
4739		れんしゅう
